file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,17,17,17,0,166
src,smashed.About,class,1,1,5,0,2,0,1,1,0,0,0,0,1,28
src,trie.Queue,class,3,23,1,0,4,0,12,12,0,6,0,0,0,148
src,smashed.UndoAction,class,2,6,2,0,10,0,3,2,0,1,0,0,1,46
src,smashed.Fonts,class,3,6,6,0,16,0,4,4,0,15,1,0,7,148
src,smashed.Notepad,class,7,78,6,0,53,0,12,12,2,28,2,0,37,645
src,smashed.RedoAction,class,2,6,2,0,10,0,3,2,0,1,0,0,1,47
src,trie.PersistTrie,class,2,15,1,0,15,45,10,7,10,0,0,0,13,83
src,smashed.ExampleFileFilter,class,1,39,2,0,15,16,12,12,0,6,0,2,0,255
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11
src,testset.Helper,class,12,30,1,0,29,298,11,11,11,2,1,2,5,257
src,smashed.Print,class,2,14,1,0,16,13,6,6,3,1,0,0,5,80
src,smashed.Center,class,3,4,1,0,5,0,4,4,0,2,0,0,2,55
src,trie.TrieST,class,3,62,1,0,18,52,17,11,0,5,0,1,0,284
src,smashed.Actions,class,7,80,1,0,53,0,19,19,0,9,1,0,21,581
