file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,7,7,7,0,101,
src,main.Board,class,3,66,1,0,26,6,13,7,0,2,1,1,6,209,
src,main.Structure,class,2,3,2,0,3,3,3,2,2,3,3,3,3,28,
src,main.Solver,interface,1,1,1,0,0,0,1,1,0,0,0,0,0,4,
src,main.Guesser,class,2,11,1,0,8,0,1,1,0,0,0,0,0,38,
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11,
src,main.SudokuFacade,class,5,47,1,0,12,0,12,12,0,3,0,0,0,126,
src,main.ForcedNumber,class,3,13,1,0,6,0,1,1,0,0,0,0,4,36,
src,main.AbstractEnum,class,1,27,1,1,18,62,13,4,7,5,0,3,9,280,
src,main.ForcedField,class,3,9,1,0,6,0,1,1,0,0,0,0,0,16,
src,main.SudokuGenerator,class,3,18,1,0,14,3,3,2,1,0,0,0,1,65,
src,main.Field,class,1,47,1,0,14,0,14,12,0,6,1,1,0,206,
src,main.BoardManager,class,7,99,1,0,33,54,21,15,0,4,0,0,12,295,4
src,main.NotSolvableException,class,0,2,3,0,0,1,2,2,0,0,0,0,0,21,
